database,hour,Connected Components (>=5 nodes),Largest Component Nodes,Largest Component Edges,Average Path Length,Diameter
no,429613,5,235,907,3.3632660483724313,10
no,429614,5,203,748,3.0980344339852706,10
no,429615,7,251,1198,3.533386454183267,10
no,429616,10,203,675,3.7047261376383944,10
no,429617,6,177,506,3.628980482794042,9
no,429618,7,164,883,3.515187789914709,9
no,429619,8,251,1636,3.340430278884462,7
no,429620,5,173,660,3.283841914235784,8
no,429621,4,189,678,3.1536643026004727,8
no,429622,10,232,1088,3.249440214957456,8
no,429623,8,402,3270,2.3702559521594027,7
no,429624,1,470,3424,2.2713695957900466,9
no,429625,4,345,2952,2.3431075160094372,8
no,429626,7,391,2524,2.5119679979015017,8
no,429627,4,243,1168,2.425806890453355,6
no,429628,4,194,921,2.3505688798675286,6
no,429629,1,157,1026,2.200555283357831,6
no,429630,2,84,578,2.2217441193344807,7
no,429631,3,43,244,1.9601328903654485,5
no,429632,2,42,182,1.934959349593496,4
no,429633,1,56,331,1.964935064935065,5
no,429634,3,86,320,2.431190150478796,6
no,429635,3,127,566,2.3297087864017,7
no,429636,2,238,2255,2.3854909052228486,6
no,429637,2,242,1374,2.6403415520729743,8
no,429638,6,182,821,2.8368040798980028,8
no,429639,2,220,1403,3.0604400166044003,9
no,429640,5,190,772,2.9697577276524645,7
no,429641,5,185,811,2.9063454759106935,6
no,429642,4,215,1110,2.8232558139534882,9
no,429643,4,161,603,3.0684782608695653,7
no,429644,3,145,714,2.9085249042145596,8
no,429645,11,146,479,3.091544638639584,8
no,429646,8,180,942,3.0318435754189945,7
no,429647,6,177,591,3.0615048793014896,9
no,429648,6,152,460,3.2554897176716624,7
no,429649,3,130,369,3.081335718545021,8
no,429650,7,202,2141,2.8183833308704003,7
no,429651,8,74,276,3.2458348759718625,9
no,429652,4,102,302,3.4573869151621044,8
no,429653,5,43,383,1.769656699889258,4
no,429654,5,14,30,2.043956043956044,4
no,429655,4,10,45,1.0,1
no,429656,3,20,100,1.4736842105263157,2
no,429657,2,8,28,1.0,1
no,429658,4,13,57,1.2820512820512822,3
no,429659,3,88,386,2.6585684430512018,14
no,429660,6,116,420,3.1023988005997003,9
no,429661,7,123,482,3.0958283353325338,7
no,429662,7,149,402,3.5966805731906404,12
no,429663,2,166,452,3.595910916392844,13
no,429664,8,130,404,2.958855098389982,8
no,429665,5,152,449,3.276925758103869,9
no,429666,7,120,369,2.862324929971989,7
no,429667,4,203,1051,4.236940935472858,11
no,429668,5,152,489,3.1040432206343676,11
no,429669,8,140,501,3.332990750256937,8
no,429670,10,115,304,3.4312738367658278,15
no,429671,6,136,354,4.174618736383442,9
no,429672,4,187,758,3.788166292910126,10
no,429673,6,201,657,3.9592537313432836,15
no,429674,8,121,390,3.2414600550964185,9
no,429675,8,140,451,3.948201438848921,10
no,429676,4,117,1045,3.1538461538461537,9
no,429677,5,35,96,2.857142857142857,7
no,429678,2,10,37,1.1777777777777778,2
no,429679,1,24,154,1.4782608695652173,3
no,429680,5,12,66,1.0,1
no,429681,2,6,15,1.0,1
no,429682,5,71,267,3.366599597585513,8
no,429683,6,83,295,2.9188950925653834,8
no,429684,5,142,450,3.333033662970732,9
no,429685,4,211,722,3.474204468517265,10
no,429686,10,146,395,3.527161076995749,9
no,429687,5,162,779,3.3530404110114254,12
no,429688,4,161,580,4.65333850931677,14
no,429689,10,142,574,3.7379882129657376,13
no,429690,6,163,912,3.2928879800045445,15
no,429691,6,167,916,3.6466344419594545,9
no,429692,4,145,577,4.253735632183908,12
no,429693,4,203,1054,3.7032629371311514,13
no,429694,7,199,1239,3.4880970509111213,9
